	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff	s_diff
									
pi_r_yoy	-2.881	14.447	0.234	8.224	8.581	-59.886	-0.684	5.249	-274.895
	(3.713)	(1.254)	(1.320)	(4.279)	(1.073)	(2.846)	(1.722)	(1.119)	(13.680)
Constant	0.017	-0.174	0.001	-0.083	-0.003	-0.349	0.027	-0.014	0.536
	(0.045)	(0.025)	(0.033)	(0.066)	(0.019)	(0.029)	(0.041)	(0.024)	(0.444)
									
Observations	235	235	235	235	235	235	235	235	235
t-test	-0.776	11.52	0.177	1.922	8	-21.04	-0.397	4.690	-20.09
CI-low	-10.16	11.99	-2.354	-0.163	6.479	-65.46	-4.060	3.055	-301.7
CI-high	4.396	16.90	2.822	16.61	10.68	-54.31	2.692	7.442	-248.1
p-val	0.439	0	0.859	0.0558	0	0	0.691	4.66e-06	0
Standard errors in parentheses									
