B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
0.950805528049338	-3.07214877157603	-8.04590919694239	0.0513260451473966	-4.67213146719663	11.5699890702461	-0.00566277375740124	5.2098114258452	-4.20483918702553
0.00242631215676025	0.992249699887686	0.0238290101315169	-0.00106360229373106	0.0586627590547753	-0.057464502624619	-0.00133575375182158	-0.119576915704819	0.0413659514826773
-0.000105097717135823	0.00557553606380139	0.791656974738333	0.00134771565398771	0.0398979686427195	0.205470491814054	-0.0014531438240658	-0.0171122330806896	-0.0327985293865293
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
