B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
0.148563013346665	-8.79412903195423	0.338862928988482	-0.0412406258965385	-4.3930555768404	1.82889382357123	0.0119533300564943	3.55241795140371	1.46879364535233
0.0001368308593717	1.21003365725001	0.0507164280977548	-7.23809869149193e-06	-0.504495420622476	0.00400582763183273	-0.000105160502448446	0.237355557045437	-0.0359173127247528
-0.00179810822326866	0.203253775659843	0.78770052090598	-3.39644164263622e-05	-0.0453017692140943	0.401679107287403	0.000621432926965094	-0.0187714479133427	-0.2344624687409
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
