B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
1.14932881782361	-9.58692751104313	-0.0689800553478135	-0.195317235632172	-1.56612123875305	1.3936953851687	0.0417120968121203	2.76687630015897	1.44551040018958
0.000238144812239791	1.2075608630342	0.0544264146645383	-0.000219576073961562	-0.504675447753833	0.00513464537690415	9.27839564111197e-05	0.237108202402706	-0.0359532797136815
-0.00187578944474294	0.205966969860953	0.783671652596909	0.00171066771328903	-0.0339841882986804	0.398270407247763	-5.60113122151005e-05	-0.0221664597133958	-0.235921925839381
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
