B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
1.04823568076671	-7.93703403277778	4.00556541414503	-0.181163199703276	-4.48282626339744	-9.81478787603539	0.0665131113715594	8.07611224016065	6.92935527219485
0.000394734721832971	1.06552961021426	0.0350645807952601	-0.000269937811679378	-0.0840622051428138	0.0298492039199386	-0.000159993519945006	-0.0361572627418402	-0.0390519542536885
-0.000389582003824321	0.0983338182850989	0.995923908636853	0.000858665345227283	0.0944952112464151	0.0233651540188471	-0.000122910988350453	-0.142292243393625	-0.0433565084324246
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
