B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
0.934799506021345	-0.919272744282106	-5.1578021039532	0.0741720195036459	-4.77537085154833	4.94727553702174	-0.018063167185785	4.43167007189614	-0.908744426950642
0.00250109486342032	1.01885566842983	0.0801193699353553	-0.000951607237364038	0.0861068314296087	-0.0789896243693061	-0.00149348512032386	-0.14501231814104	0.0137875111282648
0.00166860298664219	-0.15166082957279	0.82778879548512	0.000414102701671751	0.258471442033437	0.136519822620188	-0.00246384252777302	-0.0849765192350371	-0.0512860369054476
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
