B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
1.01527735017493	2.04723414575841	-1.91195872857417	-0.00391702376466322	-9.78273416682883	-3.81048823164	-0.0402072060753638	7.20004426254726	3.6898497633644
0.00143221879734544	1.09600157890357	0.0753839152885173	-0.00110465274514226	-0.0789304715794904	-0.0180557907437	-0.000167814243815159	-0.0710237985145931	-0.0382813324334747
0.000664298322014497	-0.00657333395301777	1.01983452938749	8.99732185560623e-05	0.0387158597953031	0.0745366568849419	-0.000614805789890439	-0.0377340955721305	-0.137801243114727
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
