B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
0.999775147520685	-3.88681080387163	2.99842930714347	0.0721325334224883	3.3871588645374	-2.82730559943776	-0.0818949029217664	-0.229263822771428	-0.340768382454802
0.00203906646980642	1.21927708265391	0.0201214280582641	-0.000723001414474081	-0.324281050501684	-0.00532138683666783	-0.00116179090513821	0.0611976485021426	-0.00112033586073172
-0.00270866542549131	0.0418629610036943	0.453642597199685	0.00167691959233217	0.0565386217190835	0.547073286397513	0.000831859775509426	-0.082352801664907	-0.0313187179737715
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
