B_new_1	B_new_2	B_new_3	B_new_4	B_new_5	B_new_6	B_new_7	B_new_8	B_new_9
0.108064340204897	0.438366013862172	-1.27447339749636	-0.0154334969889193	-5.579852275582	5.91080282252675	0.0582201444483913	1.84127616659267	-2.75529295871473
0.0014229227062363	1.04002416582384	0.0329498488630397	0.0012351572185735	-0.0430306813021095	-0.0594024294406739	6.69118325261812e-06	-0.0308188116528954	0.031445316301585
-0.00529053765770481	0.161418660630937	0.560308974390981	-0.00112804145017394	-0.0501759093227442	0.204626894188513	-0.0029464148579753	-0.0275004589738705	0.171964818138358
1	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0
